depot;vehicle_id;vehicle_short_name;opd_date
CD;1001224;33607;15/01/2017
D1;1001226;33611;15/01/2017
D1;1001227;33613;15/01/2017
D1;1001228;33615;15/01/2017
D1;1001230;33619;15/01/2017
HN;1001231;33621;15/01/2017
HN;1001233;33625;15/01/2017
SL;1001234;33627;15/01/2017
SL;1001235;33629;15/01/2017
SL;1001237;33633;15/01/2017
SL;1001238;33635;15/01/2017
D2;1001240;33639;15/01/2017
D2;1001241;33641;15/01/2017
D2;1001242;33643;15/01/2017
D2;1001244;33647;15/01/2017
PO;1001269;24249;15/01/2017
HN;1000192;40016;15/01/2017
HN;1000196;33498;15/01/2017
RD;1000698;38005;15/01/2017
RD;1000700;38007;15/01/2017
CF;1000702;38009;15/01/2017
CF;1000704;38011;15/01/2017
CF;1000706;38013;15/01/2017
CF;1000708;38015;15/01/2017
CF;1000710;38017;15/01/2017
CF;1000712;38019;15/01/2017
PO;1000714;38021;15/01/2017
D1;1000716;38023;15/01/2017
D1;1000718;38025;15/01/2017
D1;1000720;38027;15/01/2017
D1;1000722;38029;15/01/2017
D1;1000724;38031;15/01/2017
D1;1000726;38033;15/01/2017
D1;1000728;38035;15/01/2017
SL;1000730;38037;15/01/2017
SL;1000732;38039;15/01/2017
SL;1000734;38041;15/01/2017
HN;1000736;38043;15/01/2017
HN;1000738;38045;15/01/2017
SL;1000740;38047;15/01/2017
PO;1000741;33155;15/01/2017
PO;1000742;38049;15/01/2017
CD;1000744;38051;15/01/2017
PO;1000745;33159;15/01/2017
CD;1000746;38053;15/01/2017
CD;1000748;38055;15/01/2017
CD;1000750;38057;15/01/2017
PO;1000751;33165;15/01/2017
CD;1000752;38059;15/01/2017
RD;1000754;38061;15/01/2017
PO;1000755;33169;15/01/2017
RD;1000756;38063;15/01/2017
PO;1000757;33171;15/01/2017
HN;1000758;38065;15/01/2017
HN;1000760;38067;15/01/2017
HN;1000762;38069;15/01/2017
HN;1000764;38071;15/01/2017
PO;1000765;33179;15/01/2017
HN;1000766;38073;15/01/2017
CF;1000768;38075;15/01/2017
CF;1000770;38077;15/01/2017
CF;1000772;38079;15/01/2017
CF;1000774;38081;15/01/2017
CF;1000776;38083;15/01/2017
CF;1000778;38085;15/01/2017
CF;1000780;38087;15/01/2017
CF;1000782;38089;15/01/2017
CD;1000783;33197;15/01/2017
D1;1000784;38091;15/01/2017
D1;1000788;38095;15/01/2017
D1;1000792;38099;15/01/2017
RD;1932331;43074;15/01/2017
RD;1932332;43076;15/01/2017
RD;1932333;43078;15/01/2017
RD;1932334;43080;15/01/2017
D2;1932335;43007;15/01/2017
D2;1932336;43009;15/01/2017
D2;1932337;43011;15/01/2017
D2;1932338;43013;15/01/2017
D2;1932339;43015;15/01/2017
D2;1932340;43017;15/01/2017
D2;1932341;43019;15/01/2017
D2;1932342;43021;15/01/2017
CD;1932343;43023;15/01/2017
CD;1932344;43025;15/01/2017
CD;1932345;43027;15/01/2017
CD;1932346;43029;15/01/2017
CD;1932347;43031;15/01/2017
HN;1932348;43033;15/01/2017
HN;1932349;43035;15/01/2017
HN;1932350;43037;15/01/2017
HN;1932351;43039;15/01/2017
HN;1932352;43041;15/01/2017
HN;1932353;43043;15/01/2017
HN;1932354;43045;15/01/2017
HN;1932355;43047;15/01/2017
HN;1932356;43049;15/01/2017
SL;1932357;43051;15/01/2017
SL;1932358;43053;15/01/2017
SL;1932359;43055;15/01/2017
SL;1932360;43057;15/01/2017
SL;1932361;43059;15/01/2017
CF;1932362;43061;15/01/2017
CF;1932363;43063;15/01/2017
CF;1932364;43065;15/01/2017
CF;1932365;43067;15/01/2017
CF;1932366;43069;15/01/2017
CF;1932367;43071;15/01/2017
RD;1932368;43073;15/01/2017
RD;1932369;43075;15/01/2017
RD;1932370;43077;15/01/2017
RD;1932371;43079;15/01/2017
D2;1932297;43006;15/01/2017
